Car Type,Vehicle Chassis,Fuel type,url,Manufacturer,Model,Price (€)
BMW 2-serie 218i Gran Coupe,Sedan,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/2-serie-gran-coupe,BMW,2-serie 218i Gran Coupe, 559
Mazda CX-5 Centre-Line,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/cx-5-mhev,Mazda,CX-5 Centre-Line, 569
Volkswagen Golf Variant Life MHEV,Stationwagen,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/golf-variant-mhev,Volkswagen,Golf Variant Life MHEV, 569
Kia EV6 Light Edition RWD 58kWh,Hatchback,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/ev6-ev,Kia,EV6 Light Edition RWD 58kWh, 569
Hyundai TUCSON i-Motion MHEV,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/tucson-mhev,Hyundai,TUCSON i-Motion MHEV, 574
Lynk & Co 01,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/lynk--co/01-phev,Lynk & Co, 01, 574
Mercedes-Benz A180 Business Line Limousine,Sedan,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/a-klasse-limousine-mhev,Mercedes-Benz,A180 Business Line Limousine, 579
Opel Astra Sports Tourer PHEV,Stationwagen,Benzine/Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/astra-sports-tourer-phev,Opel,Astra Sports Tourer PHEV, 579
Kia Niro PHEV DynamicLine,SUV,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/kia/niro-phev,Kia,Niro PHEV DynamicLine, 579
Mercedes-Benz A180 Business Line Hatchback,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/a-klasse-hatchback-mhev,Mercedes-Benz,A180 Business Line Hatchback, 584
Peugeot e-308 Allure,Hatchback,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/e-308-ev,Peugeot,e-308 Allure, 584
Renault AUSTRAL Hybrid Evolution,SUV,Hybridebenzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/austral-hybrid,Renault,AUSTRAL Hybrid Evolution, 584
Peugeot 3008 Allure Pack Business,SUV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/3008,Peugeot,3008 Allure Pack Business, 589
Mini Clubman Cooper,Stationwagen,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mini/clubman,Mini,Clubman Cooper, 589
Peugeot 408 Allure,Hatchback,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/408,Peugeot,408 Allure, 599
DS 4 E-Tense PHEV Bastille+,Hatchback,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ds/4-phev,DS,4 E-Tense PHEV Bastille+, 599
Peugeot e-308 SW Allure,Stationwagen,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/e-308-sw-ev,Peugeot,e-308 SW Allure, 599
Toyota Prius Dynamic PHEV,Hatchback,Elektriciteit/ benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/prius-phev,Toyota,Prius Dynamic PHEV, 599
Skoda Enyaq Selection 60 (62 kWh),SUV,Elektriciteit,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/skoda/enyaq-ev,Skoda,Enyaq Selection 60 (62 kWh), 599
BMW 216iA Active Tourer,MPV,Benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/2-serie-active-tourer,BMW,216iA Active Tourer, 604
Peugeot 308 SW HYbrid 180 Active Pack Business,Stationwagen,Elektriciteit/benzine,https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/308-sw-phev,Peugeot,308 SW HYbrid 180 Active Pack Business, 609
